CATEGORYID,USESTATUS_LAST_ID,P_MANUFACTURERID,DATEMANUFACTURE,NATIONALFACT,OWNER,IDM,DBDAX,DBDATSCN,SO_CKTTDCKT,KCRTT,MTDC,MTCD,LCD,CNGSDKTTDL,UDM,I_CAT_DM,LOAI_TBI
0022D00_RECLOSER,USING,HSX.00161,2024,TB040.00001,TB0631,PB-500012,125,50,NULL,NULL,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,PB-500230
0022D00_RECLOSER,USING,HSX.00161,2020,TB040.00001,TB0631,PB-500012,125,50,10000,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,HSX.00161,2011,TB040.00012,TB0632,PB-500012,125,50,407,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.2
0022D00_RECLOSER,RETIRE,HSX.00274,2011,TB040.00117,TB0631,PB-500012,125,50,10000,PB-500047,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,HSX.00274,2001,TB040.00117,TB0631,PB-500012,125,50,90,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.6,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,TVH,HSX.00161,2011,TB040.00001,TB0632,PB-500012,125,50,6,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.2
0022D00_RECLOSER,USING,HSX.00126,2017,TB040.00021,TB0632,PB-500012,125,50,NULL,PB-500047,PE2045,PE2048,TBI_TT_REC_VCD.003,EVN.KO,TBI_TT_FCO_UDM.6,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.7
0022D00_RECLOSER,USING,HSX.00274,2008,TB040.00117,TB0631,PB-500012,125,50,1,PB-500047,PE2045,PE2048,TBI_TT_REC_VCD.003,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.2,TBI_TT_RECLOSER_LOAI.6
0022D00_RECLOSER,USING,HSX.00126,2001,TB040.00012,TB0631,PB-500012,125,60,10000,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.002,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.7
0022D00_RECLOSER,USING,HSX.00274,2009,TB040.00117,TB0632,PB-500012,125,50,10000,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.1,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,HSX.00274,2013,TB040.00117,TB0632,PB-500012,125,50,10000,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.6,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,HSX.00035,2005,TB040.00012,TB0631,PB-500012,125,50,10000,PB-500047,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.6,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.7
0022D00_RECLOSER,USING,HSX.00274,2010,TB040.00117,TB0632,PB-500012,125,50,10000,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,HSX.00126,2002,TB040.00012,TB0631,PB-500012,125,50,10000,PB-500049,PE2045,PB-500116,TBI_TT_REC_VCD.002,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.7,TBI_TT_RECLOSER_LOAI.16
0022D00_RECLOSER,USING,HSX.00161,2011,TB040.00001,TB0631,PB-500012,125,50,NULL,PB-500047,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.6,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.2
0022D00_RECLOSER,RETIRE,HSX.00302,2013,TB040.00012,TB0632,PB-500012,125,50,10000,PB-500049,PE2045,PE2046,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.6,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.14
0022D00_RECLOSER,USING,HSX.00126,2006,TB040.00012,TB0632,PB-500012,125,50,1000,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.KO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.7
0022D00_RECLOSER,USING,HSX.00161,2020,TB040.00001,TB0631,PB-500012,125,50,10000,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,PB-100087,2024,TB040.00001,TB0632,PB-500013,150,50,10000,PB-500047,PE2045,PE2048,TBI_TT_REC_VCD.003,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.5,PB-500525
0022D00_RECLOSER,USING,HSX.00126,2000,TB040.00012,TB0632,PB-500012,125,50,715,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.16
0022D00_RECLOSER,USING,PB-100159,2024,TB040.00117,TB0632,PB-500012,125,50,NULL,PB-500049,PE2045,PE2046,TBI_TT_REC_VCD.003,EVN.CO,TBI_TT_FCO_UDM.6,TBI_TT_RECLOSER_INMDM.2,PB-500823
0022D00_RECLOSER,RETIRE,HSX.00272,2023,TB040.00117,TB0632,PB-500012,125,50,NULL,PB-500049,PE2045,PB-500116,TBI_TT_REC_VCD.003,EVN.CO,TBI_TT_FCO_UDM.6,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.16
0022D00_RECLOSER,NOTUSE,HSX.00299,2021,TB040.00008,TB0632,PB-500012,125,50,10000,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,PB-500367
0022D00_RECLOSER,NOTUSE,HSX.00299,2021,TB040.00008,TB0632,PB-500012,125,50,10000,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,PB-500367
0022D00_RECLOSER,NOTUSE,HSX.00299,2021,TB040.00008,TB0632,PB-500012,125,50,10000,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,PB-500367
0022D00_RECLOSER,USING,PB-100024,2023,TB040.00001,TB0632,PB-500013,125,50,10000,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,PB-500525
0022D00_RECLOSER,USING,PB-100159,2024,TB040.00117,TB0632,PB-500013,125,50,30000,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.5,TBI_TT_RECLOSER_LOAI.8
0022D00_RECLOSER,USING,HSX.00161,2012,TB040.00001,TB0632,PB-500012,125,50,10000,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.2
0022D00_RECLOSER,USING,HSX.00126,2016,TB040.00012,TB0632,PB-500012,125,50,10000,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.003,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.7
0022D00_RECLOSER,USING,HSX.00274,2019,TB040.00117,TB0631,PB-500012,125,50,10000,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.KO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.2,TBI_TT_RECLOSER_LOAI.3
0022D00_RECLOSER,USING,HSX.00161,2019,TB040.00001,TB0631,PB-500012,125,50,10000,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.KO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.2,TBI_TT_RECLOSER_LOAI.3
0022D00_RECLOSER,USING,HSX.00126,2014,TB040.00021,TB0632,PB-500012,125,50,10000,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.7
0022D00_RECLOSER,RETIRE,HSX.00274,2019,TB040.00117,TB0632,PB-500012,125,50,10000,PB-500049,PE2045,PE2046,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,HSX.00161,2015,TB040.00117,TB0631,PB-500012,125,50,1200,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,PB-500230
0022D00_RECLOSER,USING,HSX.00274,2011,TB040.00117,TB0632,PB-500012,125,50,10000,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.4,PB-500230
0022D00_RECLOSER,USING,HSX.00126,2016,TB040.00021,TB0632,PB-500012,125,50,NULL,NULL,PE2045,PE2046,TBI_TT_REC_VCD.004,EVN.KO,TBI_TT_FCO_UDM.6,TBI_TT_RECLOSER_INMDM.8,NULL
0022D00_RECLOSER,USING,HSX.00161,2018,TB040.00134,TB0632,PB-500012,125,50,NULL,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.003,EVN.CO,TBI_TT_FCO_UDM.6,TBI_TT_RECLOSER_INMDM.1,PB-500230
0022D00_RECLOSER,RETIRE,HSX.00161,2012,TB040.00001,TB0631,PB-500012,125,50,NULL,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.2,TBI_TT_RECLOSER_LOAI.16
0022D00_RECLOSER,USING,HSX.00126,2012,TB040.00012,TB0631,PB-500012,125,50,2500,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.002,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,HSX.00274,2008,TB040.00012,TB0631,PB-500012,125,50,2500,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.002,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,HSX.00274,2008,TB040.00012,TB0631,PB-500012,125,50,2500,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.002,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,HSX.00272,2019,TB040.00117,TB0632,PB-500012,125,50,200,PB-500047,PE2045,PE2048,TBI_TT_REC_VCD.005,EVN.KO,TBI_TT_FCO_UDM.6,TBI_TT_RECLOSER_INMDM.1,TBI_TT_RECLOSER_LOAI.16
0022D00_RECLOSER,USING,HSX.00161,2019,TB040.00001,TB0631,PB-500012,125,50,10000,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.KO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,PB-500230
0022D00_RECLOSER,USING,HSX.00126,2017,TB040.00012,TB0631,PB-500012,125,50,2500,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.002,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,HSX.00126,2012,TB040.00012,TB0631,PB-500012,125,50,2500,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.002,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,HSX.00126,2015,TB040.00012,TB0632,PB-500012,125,50,NULL,NULL,PE2045,PE2048,TBI_TT_REC_VCD.002,EVN.KO,TBI_TT_FCO_UDM.5,TBI_TT_RECLOSER_INMDM.3,NULL
0022D00_RECLOSER,RETIRE,HSX.00126,2016,TB040.00012,TB0632,PB-500012,125,50,NULL,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.002,EVN.KO,TBI_TT_FCO_UDM.6,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.7
0022D00_RECLOSER,USING,HSX.00272,2018,TB040.00117,TB0632,PB-500012,125,50,10000,PB-500047,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.6,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.7
0022D00_RECLOSER,RETIRE,HSX.00126,2012,TB040.00012,TB0631,PB-500012,125,50,2500,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.002,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,HSX.00299,2019,TB040.00006,TB0631,PB-500012,125,50,1000,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.KO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.2,TBI_TT_RECLOSER_LOAI.6
0022D00_RECLOSER,USING,HSX.00274,2016,TB040.00117,TB0631,PB-500012,125,50,10000,PB-500047,PE2045,PE2048,TBI_TT_REC_VCD.003,EVN.KO,TBI_TT_FCO_UDM.6,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,HSX.00126,1999,TB040.00012,TB0632,PB-500012,125,50,10000,PB-500049,PE2045,PB-500116,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.6,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,HSX.00272,2019,TB040.00117,TB0632,PB-500012,125,50,1000,PB-500049,PE2045,PE2046,TBI_TT_REC_VCD.003,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.10
0022D00_RECLOSER,USING,HSX.00126,2015,TB040.00021,TB0632,PB-500012,125,50,NULL,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.6,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.7
0022D00_RECLOSER,USING,HSX.00307,2021,TB040.00001,TB0631,PB-500012,125,50,10000,PB-500047,PE2045,PE2048,TBI_TT_REC_VCD.003,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.2
0022D00_RECLOSER,USING,HSX.00161,2023,TB040.00001,TB0631,PB-500012,125,50,NULL,PB-500047,PE2045,PB-500116,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.7,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,HSX.00161,2020,TB040.00012,TB0631,PB-500012,125,50,3,PB-500047,PE2045,PE2048,TBI_TT_REC_VCD.005,EVN.KO,TBI_TT_FCO_UDM.6,TBI_TT_RECLOSER_INMDM.4,TBI_TT_RECLOSER_LOAI.2
0022D00_RECLOSER,USING,PB-100087,2023,TB040.00001,TB0632,PB-500013,125,50,5000,PB-500049,PE2045,PE2046,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.5,PB-500525
0022D00_RECLOSER,USING,PB-100087,2023,TB040.00001,TB0632,PB-500013,125,50,5000,PB-500049,PE2045,PE2046,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.5,PB-500525
0022D00_RECLOSER,USING,PB-100087,2023,TB040.00001,TB0632,PB-500013,150,50,10000,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.5,PB-500525
0022D00_RECLOSER,USING,PB-100087,2023,TB040.00001,TB0632,PB-500012,125,50,3,PB-500049,PE2045,PE2046,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.6,TBI_TT_RECLOSER_INMDM.1,TBI_TT_RECLOSER_LOAI.2
0022D00_RECLOSER,USING,HSX.00272,2023,TB040.00117,TB0632,PB-500013,125,50,NULL,PB-500047,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.5,TBI_TT_RECLOSER_LOAI.8
0022D00_RECLOSER,USING,PB-100087,2023,TB040.00001,TB0632,PB-500013,125,50,10000,PB-500049,PE2045,PE2046,TBI_TT_REC_VCD.003,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.2,PB-500525
0022D00_RECLOSER,USING,HSX.00274,2016,TB040.00117,TB0631,PB-500012,125,50,500,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.4
0022D00_RECLOSER,USING,PB-100087,2023,TB040.00021,TB0632,PB-500013,150,50,10000,PB-500050,PE2045,PE2048,TBI_TT_REC_VCD.003,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.5,PB-500525
0022D00_RECLOSER,USING,HSX.00299,2019,TB040.00008,TB0631,PB-500012,125,50,NULL,PB-500047,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.7,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,HSX.00161,2019,TB040.00001,TB0631,PB-500012,125,50,10000,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,PB-500230
0022D00_RECLOSER,USING,HSX.00161,2019,TB040.00001,TB0631,PB-500012,125,50,1000,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.003,EVN.CO,TBI_TT_FCO_UDM.6,TBI_TT_RECLOSER_INMDM.2,TBI_TT_RECLOSER_LOAI.2
0022D00_RECLOSER,USING,HSX.00126,2016,TB040.00021,TB0632,PB-500012,125,50,6,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.2,TBI_TT_RECLOSER_LOAI.16
0022D00_RECLOSER,USING,HSX.00126,2017,TB040.00021,TB0632,PB-500012,125,50,200,PB-500047,PE2045,PE2048,TBI_TT_REC_VCD.005,EVN.KO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.7
0022D00_RECLOSER,USING,HSX.00126,2017,TB040.00012,TB0632,PB-500012,125,50,200,PB-500047,PE2045,PE2048,TBI_TT_REC_VCD.005,EVN.KO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.7
0022D00_RECLOSER,USING,HSX.00272,2019,TB040.00117,TB0632,PB-500013,125,50,10000,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.10
0022D00_RECLOSER,RETIRE,HSX.00274,2009,TB040.00117,TB0632,PB-500012,125,50,10000,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,HSX.00126,2008,TB040.00021,TB0631,PB-500012,125,50,378,PB-500047,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.6,TBI_TT_RECLOSER_INMDM.2,TBI_TT_RECLOSER_LOAI.7
0022D00_RECLOSER,USING,HSX.00161,2021,TB040.00141,TB0632,PB-500013,125,50,10000,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.002,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,PB-500230
0022D00_RECLOSER,USING,HSX.00299,2015,TB040.00006,TB0631,PB-500012,125,50,5,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.002,EVN.CO,TBI_TT_FCO_UDM.6,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,HSX.00161,2020,TB040.00001,TB0631,PB-500012,125,50,1000,PB-500049,PE2045,PE2046,TBI_TT_REC_VCD.003,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.2
0022D00_RECLOSER,NOTUSE,PB-100087,2024,TB040.00001,TB0632,PB-500012,125,50,NULL,NULL,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.6,TBI_TT_RECLOSER_INMDM.3,PB-500525
0022D00_RECLOSER,HH,HSX.00126,2014,TB040.00021,TB0632,PB-500012,125,50,NULL,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.002,EVN.CO,TBI_TT_FCO_UDM.5,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.7
0022D00_RECLOSER,HH,HSX.00126,2004,TB040.00021,TB0632,PB-500012,125,50,NULL,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.002,EVN.KO,TBI_TT_FCO_UDM.5,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.7
0022D00_RECLOSER,USING,HSX.00274,2015,TB040.00117,TB0631,PB-500012,125,50,1200,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,HSX.00272,2018,TB040.00117,TB0632,PB-500012,125,50,10000,PB-500047,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.6,TBI_TT_RECLOSER_INMDM.3,PB-500230
0022D00_RECLOSER,RETIRE,HSX.00126,2025,TB040.00021,TB0632,PB-500012,125,50,NULL,NULL,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.4,NULL
0022D00_RECLOSER,USING,HSX.00274,2020,TB040.00117,TB0631,PB-500012,125,50,1200,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,NOTUSE,HSX.00311,2011,TB040.00006,TB0632,PB-500012,125,50,NULL,PB-500047,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.KO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.7,TBI_TT_RECLOSER_LOAI.12
0022D00_RECLOSER,USING,HSX.00299,2017,TB040.00023,TB0631,PB-500012,125,50,5000,PB-500049,PE2045,PE2046,TBI_TT_REC_VCD.004,EVN.KO,TBI_TT_FCO_UDM.5,TBI_TT_RECLOSER_INMDM.2,NULL
0022D00_RECLOSER,USING,HSX.00161,2018,TB040.00014,TB0631,PB-500012,125,50,10000,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.KO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.2
0022D00_RECLOSER,USING,HSX.00126,2016,TB040.00021,TB0632,PB-500012,125,50,10000,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.2,TBI_TT_RECLOSER_LOAI.7
0022D00_RECLOSER,USING,HSX.00274,2015,TB040.00117,TB0631,PB-500012,125,50,NULL,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.1,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,PB-100088,2022,TB040.00001,TB0632,PB-500012,125,50,10000,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.003,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.2,PB-500525
0022D00_RECLOSER,USING,HSX.00126,2004,TB040.00012,TB0632,PB-500012,125,50,10000,PB-500049,PE2045,PE2046,TBI_TT_REC_VCD.002,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.16
0022D00_RECLOSER,USING,PB-100087,2023,TB040.00001,TB0631,PB-500013,125,50,1000,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.7
0022D00_RECLOSER,USING,HSX.00272,2023,TB040.00117,TB0632,PB-500013,125,50,NULL,PB-500047,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.KO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.4,TBI_TT_RECLOSER_LOAI.10
0022D00_RECLOSER,USING,HSX.00161,2017,TB040.00001,TB0631,PB-500012,125,50,2500,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.002,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,HSX.00274,2004,TB040.00117,TB0631,PB-500012,125,50,10000,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.6,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.13
